Country,ISO3,CPI score 2020,CPI score 2019,CPI score 2018,CPI score 2017,CPI score 2016,CPI score 2015,CPI score 2014,CPI Score 2013,CPI Score 2012
Senegal,SEN,45,45,45,45,45,44,43,41,36
Hungary,HUN,44,44,46,45,48,51,54,54,55
Ghana,GHA,43,41,41,40,43,47,48,46,45
Kuwait,KWT,42,40,41,39,41,49,44,43,44
Solomon Islands,SLB,42,42,44,39,42,,,,
Bulgaria,BGR,44,43,42,43,41,41,43,41,41
Bahrain,BHR,42,42,36,36,43,51,49,48,51
Benin,BEN,41,41,40,39,36,37,39,36,36
Burkina Faso,BFA,40,40,41,42,42,38,38,38,38
Belarus,BLR,47,45,44,44,40,32,31,29,31
Timor-Leste,TLS,40,38,35,38,35,28,28,30,33
Trinidad and Tobago,TTO,40,40,41,41,35,39,38,38,39
Maldives,MDV,43,29,31,33,36,,,,
India,IND,40,41,41,40,40,38,38,36,36
Guyana,GUY,41,40,37,38,34,29,30,27,28
Morocco,MAR,40,41,43,40,37,36,39,37,37
Colombia,COL,39,37,36,37,37,37,37,36,36
Ethiopia,ETH,38,37,34,35,34,33,33,33,33
Suriname,SUR,38,44,43,41,45,36,36,36,37
Tanzania,TZA,38,37,36,36,32,30,31,33,35
Kosovo,KSV,36,36,37,39,36,33,33,33,34
Vietnam,VNM,36,37,33,35,33,31,31,31,31
North Macedonia,MKD,35,35,37,35,37,42,45,44,43
Argentina,ARG,42,45,40,39,36,32,34,34,35
Lesotho,LSO,41,40,41,42,39,44,49,49,45
Turkey,TUR,40,39,41,40,41,42,45,50,49
Brazil,BRA,38,35,35,37,40,38,43,42,43
Serbia,SRB,38,39,39,41,42,40,41,42,39
Indonesia,IDN,37,40,38,37,37,36,34,32,32
Kazakhstan,KAZ,38,34,31,31,29,28,29,26,28
Sri Lanka,LKA,38,38,38,38,36,37,38,37,40
Gambia,GMB,37,37,37,30,26,28,29,28,34
Ecuador,ECU,39,38,34,32,31,32,33,35,32
Peru,PER,38,36,35,37,35,36,38,38,38
Cote d'Ivoire,CIV,36,35,35,36,34,32,32,27,29
Panama,PAN,35,36,37,37,38,39,37,35,38
Moldova,MDA,34,32,33,31,30,33,35,35,36
Albania,ALB,36,35,36,38,39,36,33,31,33
Thailand,THA,36,36,36,37,35,38,38,35,37
Bosnia and Herzegovina,BIH,35,36,38,38,39,38,39,42,42
Mongolia,MNG,35,35,37,36,38,39,39,38,36
Malawi,MWI,30,31,32,31,31,31,33,37,37
El Salvador,SLV,36,34,35,33,36,39,39,38,38
Sierra Leone,SLE,33,33,30,30,30,29,31,30,31
Algeria,DZA,36,35,35,33,34,36,36,36,34
Philippines,PHL,34,34,36,34,35,35,38,36,34
Egypt,EGY,33,35,35,32,34,36,37,32,32
Nepal,NPL,33,34,31,31,29,27,29,31,27
Zambia,ZMB,33,34,35,37,38,38,38,38,37
Eswatini,SWZ,33,34,38,39,,,43,39,37
Ukraine,UKR,33,30,32,30,29,27,26,25,26
Niger,NER,32,32,34,33,35,34,35,34,33
Mexico,MEX,31,29,28,29,30,31,35,34,34
Gabon,GAB,30,31,31,32,35,34,37,34,35
Papua New Guinea,PNG,27,28,28,29,28,25,25,25,25
Bolivia,BOL,31,31,29,33,33,34,35,34,34
Kenya,KEN,31,28,27,28,26,25,25,27,27
Azerbaijan,AZE,30,30,25,31,30,29,29,28,27
Laos,LAO,29,29,29,29,30,25,25,26,21
Togo,TGO,29,29,30,32,32,32,29,29,30
Dominican Republic,DOM,28,28,30,29,31,33,32,29,32
Paraguay,PRY,28,28,29,29,30,27,24,24,25
Djibouti,DJI,27,30,31,31,30,34,34,36,36
Mali,MLI,30,29,32,31,32,35,32,28,34
Russia,RUS,30,28,28,29,29,29,27,28,28
Liberia,LBR,28,28,32,31,37,37,37,38,41
Angola,AGO,27,26,19,19,18,15,19,23,22
Pakistan,PAK,31,32,33,32,32,30,29,28,27
Mauritania,MRT,29,28,27,28,27,31,30,30,31
Myanmar,MMR,28,29,29,30,28,22,21,21,15
Uzbekistan,UZB,26,25,23,22,21,19,18,17,17
Kyrgyzstan,KGZ,31,30,29,29,28,28,27,24,24
Uganda,UGA,27,28,26,26,25,25,26,26,29
Cameroon,CMR,25,25,25,25,26,27,27,25,26
Bangladesh,BGD,26,26,26,28,26,25,25,27,26
Madagascar,MDG,25,24,25,24,26,28,28,28,32
Mozambique,MOZ,25,26,23,25,27,31,31,30,31
Guinea,GIN,28,29,28,27,27,25,25,24,24
Guatemala,GTM,25,26,27,28,28,28,32,29,33
Iran,IRN,25,26,28,30,29,27,27,25,28
Tajikistan,TJK,25,25,25,21,25,26,23,22,22
Central African Republic,CAF,26,25,26,23,20,24,24,25,26
Lebanon,LBN,25,28,28,28,28,28,27,28,30
Nigeria,NGA,25,26,27,27,28,26,27,25,27
Honduras,HND,24,26,29,29,30,31,29,26,28
Zimbabwe,ZWE,24,24,22,22,22,21,21,21,20
Cambodia,KHM,21,20,20,21,21,21,21,20,22
Iraq,IRQ,21,20,18,18,17,16,16,16,18
Eritrea,ERI,21,23,24,20,18,18,18,20,25
Congo,COG,19,19,19,21,20,23,23,22,26
Guinea Bissau,GNB,19,18,16,17,16,17,19,19,25
Nicaragua,NIC,22,22,25,26,26,27,28,28,29
Chad,TCD,21,20,19,20,20,22,22,19,19
Comoros,COM,21,25,27,27,24,26,26,28,28
Haiti,HTI,18,18,20,22,20,17,19,19,19
Sudan,SDN,16,16,16,16,14,12,11,11,13
Burundi,BDI,19,19,17,22,20,21,20,21,19
Turkmenistan,TKM,19,19,20,19,22,18,17,17,17
Democratic Republic of the Congo,COD,18,18,20,21,21,22,22,22,21
Libya,LBY,17,18,17,17,14,16,18,15,21
Equatorial Guinea,GNQ,16,16,16,17,,,,19,20
Afghanistan,AFG,19,16,16,15,15,11,12,8,8
"Korea, North",PRK,18,17,14,17,12,8,8,8,8
Yemen,YEM,15,15,14,16,14,18,19,18,23
Venezuela,VEN,15,16,18,18,17,17,19,20,19
Syria,SYR,14,13,13,14,13,18,20,17,26
Somalia,SOM,12,9,10,9,10,8,8,8,8
South Sudan,SSD,12,12,13,12,11,15,15,14,
Brunei Darussalam,BRN,60,60,63,62,58,,,60,55
