Country,2012,2013,2014,2015,2016,2017,2018,2019,2020
Honduras,5.438,4.917,5.82,2.357,3.315,4.728,4.224,4.084,4.013
Hong Kong SAR,3.625,4.343,4.855,2.315,1.185,1.704,2.513,2.86,-0.894
Hungary,4.992,0.416,-0.927,0.889,1.844,2.14,2.749,4.033,2.7
Iceland,4.243,4.14,0.809,2.005,1.9,1.865,3.725,2.009,3.58
India,10.488,7.663,5.272,5.259,3.569,4.594,2.465,6.668,4.867
Indonesia,3.655,8.078,8.363,3.359,3.021,3.608,3.157,2.586,1.684
Islamic Republic of Iran,41.348,19.555,16.223,8.352,11.827,8.31,48.817,22.033,48.678
Iraq,3.614,3.132,1.587,2.31,-1.548,0.771,-0.096,0.096,3.155
Ireland,1.735,0.301,-0.3,0.301,-0.2,0.501,0.698,0.99,-1.078
Israel,1.655,1.831,-0.2,-1.001,-0.202,0.405,0.807,0.601,-0.697
Italy,2.567,0.601,0,0.1,0.497,0.989,1.175,0.484,-0.289
Jamaica,8.002,9.473,6.357,3.661,1.725,5.235,2.44,6.219,5.18
Japan,-0.245,1.397,2.551,0.197,0.266,0.549,0.871,0.515,-0.909
Jordan,6.264,3.042,1.646,-1.737,1.219,3.471,3.778,0.68,-0.322
Kazakhstan,6,4.8,7.4,13.6,8.5,7.1,5.3,5.4,7.5
Kenya,3.2,7.149,6.019,8.007,6.35,4.496,5.711,7.157,5.617
Kiribati,-3.83,0.832,3.116,0.633,0.748,2.499,-1.134,-0.906,0.434
Korea,1.426,1.143,0.833,1.132,1.338,1.407,1.32,0.738,0.613
Kosovo,3.731,0.5,-0.398,-0.181,1.292,0.486,2.913,1.247,0.056
Kuwait,4.368,2.656,3.044,3.028,2.613,1.044,0.442,1.233,2.959
Kyrgyz Republic,7.495,3.97,10.475,3.352,-0.503,3.656,0.486,3.056,9.722
Lao P.D.R.,4.733,6.65,2.399,0.897,2.487,0.148,1.485,6.284,3.226
