Country,2012,2013,2014,2015,2016,2017,2018,2019,2020
Luxembourg,6.099,6.83,7.092,6.648,6.263,5.844,5.099,5.402,6.354
Macao SAR,2,1.85,1.7,1.825,1.9,1.975,1.8,1.725,2.55
Madagascar,,,,,,,,,
Malawi,,,,,,,,,
Malaysia,3.025,3.1,2.875,3.15,3.45,3.425,3.325,3.275,4.525
Maldives,,,,,,,,,
Mali,,,,,,,,,
Malta,6.2,6.108,5.733,5.392,4.7,4,3.658,3.633,4.367
Marshall Islands,,,,,,,,,
Mauritania,,,,,,,,,
Mauritius,8.1,8,7.8,7.9,7.3,7.1,6.9,6.7,9.2
Mexico,4.89,4.903,4.824,4.348,3.883,3.423,3.323,3.492,4.412
Micronesia,,,,,,,,,
Moldova,5.6,5.1,3.9,5.025,4.225,4.125,3.05,5.125,3.825
Mongolia,8.2,7.9,7.9,7.5,10,8.8,7.8,10,7
Montenegro,,,,,,,,,
Morocco,8.7,9.5,9.7,9.2,9,10.6,9.4,10.2,12.2
Mozambique,,,,,,,,,
Myanmar,,,,,,,,,
Namibia,,,,,,,,,
Nauru,,,,,,,,,
Nepal,,,,,,,,,
Netherlands,6.823,8.204,8.338,7.887,7.005,5.873,4.881,4.436,4.851
New Zealand,6.45,5.825,5.425,5.425,5.175,4.725,4.325,4.125,4.6
Nicaragua,5.912,5.746,6.557,5.909,4.481,3.67,5.5,6.223,7.176
Niger,,,,,,,,,
Nigeria,10.566,9.955,7.841,9,13.375,17.462,22.562,n/a,n/a
North Macedonia,31,29,28.025,26.05,23.75,22.375,20.725,17.25,16.375
Norway,3.294,3.773,3.617,4.531,4.74,4.216,3.854,3.728,4.595
Oman,,,,,,,,,
Pakistan,5.95,5.975,6,5.9,5.88,5.832,5.8,6.9,6.562
Palau,,,,,,,,,
Panama,4.05,4.098,4.823,5.052,5.494,6.13,5.956,7.07,18.548
Papua New Guinea,,,,,,,,,
Paraguay,4.573,5.021,6.038,5.351,5.998,6.086,6.236,6.569,7.708
Peru,6.798,5.945,5.938,6.49,6.742,6.876,6.7,6.6,13.9
Philippines,6.975,7.075,6.8,6.275,5.475,5.725,5.325,5.1,10.4
Poland,10.377,10.602,9.198,7.659,6.263,4.952,3.89,3.312,3.2
Portugal,16.516,17.092,14.535,12.939,11.452,9.217,7.183,6.683,7.125
Puerto Rico,14.5,14.3,13.9,12,11.8,10.8,9.2,8.3,8.9
Qatar,,,,,,,,,
Romania,6.794,7.096,6.802,6.812,5.902,4.927,4.187,3.912,5.035
Russia,5.45,5.5,5.158,5.575,5.525,5.2,4.8,4.6,5.783
Rwanda,,,,,,,,,
Samoa,,,,,,,,,
