Country,2012,2013,2014,2015,2016,2017,2018,2019,2020
Haiti,-1.536,21.953,7.239,8.552,-1.487,1.121,4.806,-3.087,-39.559
Honduras,9.873,-1.252,2.77,3.866,-0.178,4.859,-0.572,3.783,-13.391
Hong Kong SAR,3.205,7.818,0.973,-1.371,0.684,5.845,3.654,-6.149,-6.683
Hungary,-1.704,4.103,9.198,7.365,3.804,6.475,4.985,5.423,-6.076
Iceland,3.598,6.805,3.889,8.948,10.951,5.08,1.681,-4.668,-29.872
India,0.037,4.748,4.056,-5.236,6.759,10.208,5.051,-2.146,-6.338
Indonesia,-0.996,-0.975,-0.768,-2.882,2.832,7.566,4.51,0.101,-7.964
Islamic Republic of Iran,-1.312,-20.329,22.507,43.039,14.499,0.266,-12.812,-21.702,-4.626
Iraq,,,,,,,,,
Ireland,-0.823,2.99,14.593,39.166,4.603,9.635,9.804,11.849,11.169
Israel,-0.46,4.862,0.886,-1.742,2.378,4.93,5.719,3.682,-2.736
Italy,2.032,0.375,2.615,4.274,1.866,5.437,2.142,1.573,-13.426
Jamaica,10.639,10.33,13.423,14.583,12.428,9.312,14.776,8.17,-38.461
Japan,0.146,0.81,9.342,3.211,1.618,6.619,3.76,-1.458,-11.6
Jordan,-1.26,0.393,6.164,-7.273,0.823,2.541,0.959,11.566,-15.547
Kazakhstan,6.478,0.837,1.826,-7.191,-7.251,11.07,9.84,1.266,-2.191
Kenya,5.141,-6.164,2.417,-9.316,-2.846,-0.481,5.897,0.054,-7.474
Kiribati,2.968,-15.716,3.603,5.972,20.619,-16.342,-35.978,73.275,-36.194
Korea,5.793,3.82,2.096,0.234,2.372,2.48,3.976,0.238,-1.707
Kosovo,1.914,-1.459,6.321,1.833,10.492,20.012,9.09,7.512,-27.822
Kuwait,7.687,-3.993,1.405,-0.867,2.46,-4.77,-0.354,-10.05,-9.866
Kyrgyz Republic,22.963,12.546,-22.633,-6.98,-1.749,1.274,-0.795,14.869,-24.763
