Country,2012,2013,2014,2015,2016,2017,2018,2019,2020
Greece,-1.399,0.346,-0.153,0.546,3.528,4.058,4.194,3.232,-7.946
Grenada,-2.004,-3.453,-0.659,2.54,5.563,5.679,6.597,6.821,3.19
Guatemala,-0.876,-0.586,-0.45,0.128,0.429,0.136,-0.342,-0.605,-3.192
Guinea,24.832,-3.021,-2.19,-5.727,0.948,-1.151,-0.27,0.203,-2.369
Guinea-Bissau,-2.098,-1.604,-1.956,-2.486,-4.654,-0.845,-4.138,-2.801,-8.125
Guyana,-2.48,-1.616,-3.307,-0.158,-2.615,-2.463,-1.914,-1.968,-7.263
Haiti,-2.511,-3.773,-3.41,-1.375,0.193,0.29,-0.829,-1.84,-2.148
Honduras,-3.596,-5.566,-2.63,0.02,0.219,0.205,0.804,0.837,-3.759
Hong Kong SAR,1.329,-0.676,3.597,0.591,3.572,4.705,0.957,-2.246,-11.143
Hungary,1.865,1.659,0.969,1.316,1.2,0.12,0.155,0.086,-5.597
Iceland,0.32,1.877,3.775,3.21,15.461,3.95,3.075,0.465,-6.707
India,-3.191,-2.439,-2.574,-2.684,-2.519,-1.496,-1.671,-2.781,-7.589
Indonesia,-0.42,-1.033,-0.883,-1.25,-1.013,-0.915,-0.011,-0.489,-4.078
Islamic Republic of Iran,-0.499,-0.753,-0.966,-1.403,-1.349,-0.953,-0.961,-3.978,-5.276
Iraq,4.458,-5.702,-5.374,-12.198,-13.799,-0.517,9.259,1.834,-11.549
Ireland,-5.225,-2.853,-0.26,0.342,1.464,1.648,1.718,1.709,-4.085
Israel,-1.286,-1.099,-0.227,0.589,0.146,0.805,-1.427,-1.994,-8.883
Italy,2.031,1.783,1.432,1.382,1.336,1.176,1.299,1.66,-6.311
Jamaica,5.399,7.636,7.474,7.152,7.6,7.462,7.473,7.114,3.465
Japan,-6.973,-6.48,-4.506,-2.631,-2.532,-2.164,-1.677,-2.352,-8.328
Jordan,-11.793,-7.113,-5.018,-5.15,-0.768,-0.733,-1.414,-2.446,-4.468
Kazakhstan,3.783,4.418,2.014,-5.887,-4.279,-5.229,1.786,-0.765,-7.681
Kenya,-3.529,-3.226,-3.426,-4.215,-4.645,-4.17,-3.435,-3.785,-4.205
Kiribati,-6.344,12.469,39.305,47.768,23.618,40.358,-1.443,3.359,3.97
Korea,1.251,0.383,0.171,0.19,1.359,1.844,2.148,-0.144,-2.713
Kosovo,-2.234,-3.195,-2.419,-1.834,-1.495,-1.205,-2.641,-2.662,-7.558
Kuwait,25.429,25.765,12.676,-7.497,-14.224,-9.353,-3.785,-7.914,-27.456
Kyrgyz Republic,-4.919,-2.857,-2.309,-1.697,-4.888,-2.864,0.433,0.804,-2.261
Lao P.D.R.,-1.661,-3.154,-2.414,-4.806,-3.957,-4.747,-3.538,-2.016,-4.084
Latvia,1.698,0.886,-0.198,0.253,0.821,0.279,0.208,0.478,-2.925
Lebanon,-0.198,-0.729,2.492,1.447,0.434,0.757,-1.445,-0.322,-0.477
Lesotho,5.021,-2.408,3.599,-0.535,-8.703,-0.098,-3.375,-6.066,1.819
Liberia,-2.854,1.387,-4.682,-3.428,-3.54,-6.699,-3.693,-3.751,-2.555
Libya,24.613,-16.299,-30.508,-28.492,-29.29,-11.062,9.393,11.93,-22.279
